sentence	language
Iḥewwes ar Rrus deg unebdu iɛeddan.	kab
Ihewwes ar Fransa deg Yennayer iɛeddan.	kab
Ad iḥewwes ar Spenyul deg unebdu i d-iteddun.	kab
Iḥewwes-d akk tamurt n Legniz.	kab
Fkan-as-d lviza ad iṛuḥ ad ikemmel taɣuṛi-s deg Fransa.	kab
Tewwi-d Ktya lbak.	kab
Feṛḥeɣ-as aṭas i mi terbeḥ.	kab
Win yebɣan ad yissin, yerfed idlisen.	kab
S tɣuṛi n tektubin i ttissinen medden, mačči s Facebook.	kab
Win yeqqaṛen aṭas n tektubin, yettimɣuṛ wallaɣ-is.	kab
Yettimɣuṛ di tmussni win yeqqaṛen aṭas n tektubin.	kab
D adlis-ik ara yesnernin tamussni-k.	kab
Jbed ihi akken ur k-id-ttqaḍaɛen ara wiyaḍ.	kab
Ad aliɣ ar wedrar ad ḥewseɣ kra.	kab
Ad aliɣ ar wedrar ad d-kkseɣ tireɣla.	kab
Ad aliɣ ar wedrar ad d-kkseɣ iskimen.	kab
Ad ṛuḥeɣ ad d-kkseɣ iskimen akked treɣla.	kab
Ad gneɣ ɣef ṛṛbiɣ-nni.	kab
Nekk ur ttagadeɣ ara izerman.	kab
Ǧǧiɣ di Lpari i mi d-ṣubbeɣ.	kab
Ilaq ad iḥemmel tameṭṭut-is.	kab
Ilaq ad tḥemmel argaz-is.	kab
Icab uqeṛṛuy-is deg uxemmem.	kab
Ad ɛeddiɣ ad gneɣ axaṭeṛ azekka ad kkreɣ zik.	kab
Tesɛiḍ tameṭṭut neɣ ala?	kab
Tzewǧeḍ neɣ xaṭi?	kab
Tebɣiḍ ad tzewǧeḍ neɣ xaṭi?	kab
Mazal-it ittḥessis i ṛṛadyu.	kab
Netta d tmeṭṭut-is i ttḥessisen i ṛṛadyu.	kab
Taxxamt n Ṭom meqqṛet kra ɣef tinna n Mari.	kab
Bɣiɣ ad ṛuḥeɣ ar ssinima yid-s.	kab
Bɣiɣ tateffaḥt.	kab
Yemmut sin n iseggasen-aya.	kab
Yebna i yiman-is axxam amaynut.	kab
Efk-as taḥeṛṛast-nni i Ṭom.	kab
Ṛuḥ ṛaju deg tkeṛṛust.	kab
Ttettwabna temdint-nni aseggas n 573.	kab
Sɛeddayeɣ lweqt yelhan.	kab
Mačči d tilemt tbewwaṭ-nni.	kab
Llant meṛṛa da.	kab
Sutreɣ-as tabyirt-nniḍen i ubarman.	kab
Xedmen yemdukal-iw annect-a mebla nekki.	kab
Neɛṛeḍ yakkan wa.	kab
Teḥma lqahwa-nni?	kab
Llan yid-k yimawlan-ik?	kab
Ad ččeɣ tabanant d asegru.	kab
Texdem-d Marie tiɣṛifin ass-a.	kab
Marie tesɛa imdukal meɛna ur tesɛi ara idrimen.	kab
Seknet-iyi-d adlis-a !	kab
Anwa i ugaden warrac-nni ?	kab
Ur ilaq ara ad d-iḍes Tom.	kab
Ɣef wacu i theddṛem?	kab
